,25.99
557,26.39,25.87
198,26.39,25.87
401,26.39,25.87
247,26.39,25.87
136,26.39,25.87
723,26.39,25.87
259,26.39,25.87
432,26.39,25.87
369,26.39,25.87
509,26.39,25.87
286,26.39,25.87
727,26.39,25.87
467,26.45,25.87
402,26.45,25.87
200,26.45,25.87
637,26.45,25.87
331,26.45,25.87
126,26.45,25.87
679,26.45,25.87
125,26.45,25.87
747,26.45,25.87
125,26.45,25.87
520,26.45,25.87
487,26.45,25.87
180,26.45,25.87
628,26.45,25.87
574,26.45,25.87
301,26.45,25.87
512,26.45,25.87
627,26.45,25.87
428,26.45,25.87
179,26.45,25.87
375,26.45,25.87
614,26.45,25.87
416,26.45,25.87
284,26.45,25.87
173,26.45,25.85
802,26.45,25.85
124,26.45,25.85
674,26.45,25.85
626,26.45,25.85
405,26.45,25.85
554,26.45,25.85
352,26.45,25.85
630,26.45,25.85
390,26.45,25.85
216,26.45,25.85
586,26.45,25.85
386,26.45,25.85
472,26.45,25.85
630,26.45,25.85
405,26.45,25.85
731,26.45,25.85
423,26.45,25.85
691,26.45,25.85
304,26.45,25.85
328,26.45,25.85
829,26.45,25.85
683,26.45,25.85
722,26.45,25.85
122,26.45,25.85
873,26.45,25.85
604,26.45,25.85
354,26.45,25.85
334,26.45,25.85
414,26.45,25.85
414,26.45,25.85
319,26.45,25.85
860,26.45,25.85
407,26.45,25.85
418,26.45,25.85
598,26.45,25.85
693,26.45,25.85
512,26.43,25.85
526,26.43,25.85
784,26.43,25.85
630,26.43,25.85
577,26.43,25.85
506,26.43,25.85
745,26.43,25.85
455,26.43,25.85
283,26.43,25.85
596,26.43,25.85
633,26.43,25.85
254,26.43,25.85
792,26.43,25.85
309,26.43,25.85
521,26.43,25.85
564,26.43,25.85
526,26.43,25.85
696,26.43,25.85
195,26.43,25.85
713,26.43,25.85
525,26.43,25.85
615,26.43,25.85
446,26.43,25.85
676,26.43,25.93
696,26.43,25.93
288,26.43,25.93
773,26.43,25.93
326,26.43,25.93
645,26.43,25.93
353,26.43,25.93
790,26.43,25.93
486,26.43,25.93
595,26.43,25.93
437,26.43,25.93
670,26.43,25.93
288,26.43,25.93
598,26.43,25.93
494,26.43,25.93
705,26.43,25.93
832,26.43,25.93
280,26.43,25.93
551,26.43,25.93
680,26.43,25.93
