.9,28.65
514,29.71,28.97
602,29.71,28.97
612,29.71,28.97
893,29.71,28.97
399,29.71,28.97
565,29.71,28.97
315,29.71,28.97
212,29.71,28.97
541,29.71,28.97
130,29.71,28.97
725,29.71,28.97
501,29.71,28.97
243,29.67,28.97
513,29.67,28.97
887,29.67,28.97
673,29.67,28.97
711,29.67,28.97
317,29.67,28.97
581,29.67,28.97
744,29.67,28.97
541,29.67,28.97
531,29.67,28.97
478,29.67,28.97
258,29.67,28.97
355,29.67,28.97
285,29.67,28.97
207,29.67,28.97
894,29.67,28.97
857,29.67,28.97
451,29.67,28.97
608,29.67,28.97
484,29.67,28.97
389,29.67,28.97
469,29.67,28.97
163,29.67,28.97
891,29.67,28.89
411,29.67,28.89
624,29.67,28.89
594,29.67,28.89
754,29.67,28.89
779,29.67,28.89
779,29.67,28.89
397,29.67,28.89
618,29.67,28.89
130,29.67,28.89
577,29.67,28.89
775,29.67,28.89
451,29.67,28.89
792,29.67,28.89
423,29.67,28.89
454,29.67,28.89
763,29.67,28.89
132,29.67,28.89
487,29.67,28.89
405,29.67,28.89
449,29.67,28.89
396,29.67,28.89
334,29.67,28.89
447,29.67,28.89
130,29.67,28.89
893,29.67,28.89
372,29.67,28.89
193,29.67,28.89
876,29.67,28.89
380,29.67,28.89
753,29.67,28.89
728,29.67,28.89
183,29.67,28.89
548,29.67,28.89
175,29.67,28.89
864,29.67,28.89
296,29.69,28.89
130,29.69,28.89
235,29.69,28.89
142,29.69,28.89
715,29.69,28.89
226,29.69,28.89
645,29.69,28.89
725,29.69,28.89
453,29.69,28.89
682,29.69,28.89
654,29.69,28.89
277,29.69,28.89
893,29.69,28.89
459,29.69,28.89
342,29.69,28.89
337,29.69,28.89
784,29.69,28.89
333,29.69,28.89
866,29.69,28.89
869,29.69,28.89
788,29.69,28.89
511,29.69,28.89
380,29.69,28.89
692,29.69,28.89
385,29.69,28.97
395,29.69,28.97
502,29.69,28.97
893,29.69,28.97
443,29.69,28.97
654,29.69,28.97
769,29.69,28.97
444,29.69,28.97
283,29.69,28.97
585,29.69,28.97
697,29.69,28.97
350,29.69,28.97
296,29.69,28.97
784,29.69,28.97
342,29.69,28.97
325,29.69,28.97
786,29.69,28.97
457,29.69,28.97
847,29.69,28.97
414,29.69,28.97
