,º§Æ®Ã³Áü,
[2023/05/31] 23:38:57,104.000000,
[2023/05/31] 23:38:58,115.000000,
[2023/05/31] 23:38:59,115.000000,
[2023/05/31] 23:39:00,114.000000,
[2023/05/31] 23:39:01,109.000000,
[2023/05/31] 23:39:02,103.000000,
[2023/05/31] 23:39:03,118.000000,
[2023/05/31] 23:39:04,114.000000,
[2023/05/31] 23:39:05,111.000000,
[2023/05/31] 23:39:06,105.000000,
[2023/05/31] 23:39:07,113.000000,
[2023/05/31] 23:39:08,109.000000,
[2023/05/31] 23:39:09,105.000000,
[2023/05/31] 23:39:10,108.000000,
[2023/05/31] 23:39:11,101.000000,
[2023/05/31] 23:39:12,117.000000,
[2023/05/31] 23:39:13,117.000000,
[2023/05/31] 23:39:14,111.000000,
[2023/05/31] 23:39:15,108.000000,
[2023/05/31] 23:39:16,111.000000,
[2023/05/31] 23:39:17,105.000000,
[2023/05/31] 23:39:18,108.000000,
[2023/05/31] 23:39:19,105.000000,
[2023/05/31] 23:39:20,116.000000,
[2023/05/31] 23:39:21,109.000000,
[2023/05/31] 23:39:22,101.000000,
[2023/05/31] 23:39:23,113.000000,
[2023/05/31] 23:39:24,114.000000,
[2023/05/31] 23:39:25,106.000000,
[2023/05/31] 23:39:26,105.000000,
[2023/05/31] 23:39:27,106.000000,
[2023/05/31] 23:39:28,117.000000,
[2023/05/31] 23:39:29,107.000000,
[2023/05/31] 23:39:30,103.000000,
[2023/05/31] 23:39:31,103.000000,
[2023/05/31] 23:39:32,112.000000,
[2023/05/31] 23:39:33,103.000000,
[2023/05/31] 23:39:34,114.000000,
[2023/05/31] 23:39:35,110.000000,
[2023/05/31] 23:39:36,105.000000,
[2023/05/31] 23:39:37,111.000000,
[2023/05/31] 23:39:38,108.000000,
[2023/05/31] 23:39:39,102.000000,
[2023/05/31] 23:39:40,100.000000,
[2023/05/31] 23:39:41,108.000000,
[2023/05/31] 23:39:42,112.000000,
[2023/05/31] 23:39:43,104.000000,
[2023/05/31] 23:39:44,106.000000,
[2023/05/31] 23:39:45,116.000000,
[2023/05/31] 23:39:46,109.000000,
[2023/05/31] 23:39:47,107.000000,
[2023/05/31] 23:39:48,108.000000,
[2023/05/31] 23:39:49,102.000000,
[2023/05/31] 23:39:50,114.000000,
[2023/05/31] 23:39:51,112.000000,
[2023/05/31] 23:39:52,102.000000,
[2023/05/31] 23:39:53,104.000000,
[2023/05/31] 23:39:54,112.000000,
[2023/05/31] 23:39:55,109.000000,
[2023/05/31] 23:39:56,107.000000,
[2023/05/31] 23:39:57,111.000000,
[2023/05/31] 23:39:58,109.000000,
[2023/05/31] 23:39:59,102.000000,
[2023/05/31] 23:40:00,113.000000,
[2023/05/31] 23:40:01,112.000000,
[2023/05/31] 23:40:02,105.000000,
[2023/05/31] 23:40:03,114.000000,
[2023/05/31] 23:40:04,109.000000,
[2023/05/31] 23:40:05,110.000000,
[2023/05/31] 23:40:06,103.000000,
[2023/05/31] 23:40:07,107.000000,
[2023/05/31] 23:40:08,113.000000,
[2023/05/31] 23:40:09,106.000000,
[2023/05/31] 23:40:10,104.000000,
[2023/05/31] 23:40:11,115.000000,
[2023/05/31] 23:40:12,108.000000,
[2023/05/31] 23:40:13,103.000000,
[2023/05/31] 23:40:14,114.000000,
[2023/05/31] 23:40:15,105.000000,
[2023/05/31] 23:40:16,100.000000,
[2023/05/31] 23:40:17,111.000000,
[2023/05/31] 23:40:18,112.000000,
[2023/05/31] 23:40:19,104.000000,
[2023/05/31] 23:40:20,102.000000,
[2023/05/31] 23:40:21,111.000000,
[2023/05/31] 23:40:22,110.000000,
[2023/05/31] 23:40:23,103.000000,
[2023/05/31] 23:40:24,111.000000,
[2023/05/31] 23:40:25,109.000000,
[2023/05/31] 23:40:26,103.000000,
[2023/05/31] 23:40:27,115.000000,
[2023/05/31] 23:40:28,110.000000,
[2023/05/31] 23:40:29,105.000000,
[2023/05/31] 23:40:30,112.000000,
[2023/05/31] 23:40:31,111.000000,
[2023/05/31] 23:40:32,108.000000,
[2023/05/31] 23:40:33,119.000000,
[2023/05/31] 23:40:34,116.000000,
[2023/05/31] 23:40:35,108.000000,
[2023/05/31] 23:40:36,111.000000,
[2023/05/31] 23:40:37,109.000000,
[2023/05/31] 23:40:38,116.000000,
[2023/05/31] 23:40:39,109.000000,
[2023/05/31] 23:40:40,105.000000,
[2023/05/31] 23:40:41,120.000000,
[2023/05/31] 23:40:42,111.000000,
[2023/05/31] 23:40:43,111.000000,
[2023/05/31] 23:40:44,105.000000,
[2023/05/31] 23:40:45,109.000000,
[2023/05/31] 23:40:46,108.000000,
[2023/05/31] 23:40:47,111.000000,
[2023/05/31] 23:40:48,105.000000,
[2023/05/31] 23:40:49,105.000000,
[2023/05/31] 23:40:50,103.000000,
[2023/05/31] 23:40:51,112.000000,
[2023/05/31] 23:40:52,110.000000,
[2023/05/31] 23:40:53,104.000000,
[2023/05/31] 23:40:54,115.000000,
[2023/05/31] 23:40:55,116.000000,
[2023/05/31] 23:40:56,113.000000,
[2023/05/31] 23:40:57,102.000000,
[2023/05/31] 23:40:58,106.000000,
[2023/05/31] 23:40:59,111.000000,
[2023/05/31] 23:41:00,109.000000,
[2023/05/31] 23:41:01,104.000000,
[2023/05/31] 23:41:02,112.000000,
[2023/05/31] 23:41:03,100.000000,
[2023/05/31] 23:41:04,103.000000,
[2023/05/31] 23:41:05,118.000000,
[2023/05/31] 23:41:06,112.000000,
[2023/05/31] 23:41:07,102.000000,
[2023/05/31] 23:41:08,110.000000,
[2023/05/31] 23:41:09,111.000000,
[2023/05/31] 23:41:10,110.000000,
[2023/05/31] 23:41:11,105.000000,
[2023/05/31] 23:41:12,110.000000,
[2023/05/31] 23:41:13,102.000000,
[2023/05/31] 23:41:14,106.000000,
[2023/05/31] 23:41:15,108.000000,
[2023/05/31] 23:41:16,108.000000,
[2023/05/31] 23:41:17,111.000000,
[2023/05/31] 23:41:18,103.000000,
[2023/05/31] 23:41:19,111.000000,
[2023/05/31] 23:41:20,111.000000,
[2023/05/31] 23:41:21,102.000000,
[2023/05/31] 23:41:22,106.000000,
[2023/05/31] 23:41:23,105.000000,
[2023/05/31] 23:41:24,104.000000,
[2023/05/31] 23:41:25,104.000000,
[2023/05/31] 23:41:26,119.000000,
[2023/05/31] 23:41:27,109.000000,
[2023/05/31] 23:41:28,105.000000,
