,º§Æ®Ã³Áü,
[2023/06/01] 16:11:52,188.000000,
[2023/06/01] 16:11:53,151.000000,
[2023/06/01] 16:11:54,156.000000,
[2023/06/01] 16:11:55,159.000000,
[2023/06/01] 16:11:56,1022.000000,
[2023/06/01] 16:11:57,156.000000,
[2023/06/01] 16:11:58,153.000000,
[2023/06/01] 16:11:59,164.000000,
[2023/06/01] 16:12:00,170.000000,
[2023/06/01] 16:12:01,178.000000,
[2023/06/01] 16:12:02,149.000000,
[2023/06/01] 16:12:03,156.000000,
[2023/06/01] 16:12:04,147.000000,
[2023/06/01] 16:12:05,157.000000,
[2023/06/01] 16:12:06,162.000000,
[2023/06/01] 16:12:07,186.000000,
[2023/06/01] 16:12:08,170.000000,
[2023/06/01] 16:12:09,177.000000,
[2023/06/01] 16:12:10,157.000000,
[2023/06/01] 16:12:11,160.000000,
[2023/06/01] 16:12:12,165.000000,
[2023/06/01] 16:12:13,152.000000,
[2023/06/01] 16:12:14,164.000000,
[2023/06/01] 16:12:15,185.000000,
[2023/06/01] 16:12:16,151.000000,
[2023/06/01] 16:12:17,162.000000,
[2023/06/01] 16:12:18,185.000000,
[2023/06/01] 16:12:19,152.000000,
[2023/06/01] 16:12:20,150.000000,
[2023/06/01] 16:12:21,163.000000,
[2023/06/01] 16:12:22,174.000000,
[2023/06/01] 16:12:23,147.000000,
[2023/06/01] 16:12:24,158.000000,
[2023/06/01] 16:12:25,171.000000,
[2023/06/01] 16:12:26,152.000000,
[2023/06/01] 16:12:27,155.000000,
[2023/06/01] 16:12:28,168.000000,
[2023/06/01] 16:12:29,183.000000,
[2023/06/01] 16:12:30,149.000000,
[2023/06/01] 16:12:31,165.000000,
[2023/06/01] 16:12:32,142.000000,
[2023/06/01] 16:12:33,186.000000,
[2023/06/01] 16:12:34,155.000000,
[2023/06/01] 16:12:35,170.000000,
[2023/06/01] 16:12:36,183.000000,
[2023/06/01] 16:12:37,150.000000,
[2023/06/01] 16:12:38,169.000000,
[2023/06/01] 16:12:39,149.000000,
[2023/06/01] 16:12:40,152.000000,
[2023/06/01] 16:12:41,163.000000,
[2023/06/01] 16:12:42,188.000000,
[2023/06/01] 16:12:43,153.000000,
