,º§Æ®Ã³Áü,
[2023/06/01] 01:54:23,116.000000,
[2023/06/01] 01:54:24,114.000000,
[2023/06/01] 01:54:25,105.000000,
[2023/06/01] 01:54:26,112.000000,
[2023/06/01] 01:54:27,122.000000,
[2023/06/01] 01:54:28,100.000000,
[2023/06/01] 01:54:29,105.000000,
[2023/06/01] 01:54:30,106.000000,
[2023/06/01] 01:54:31,108.000000,
[2023/06/01] 01:54:32,120.000000,
[2023/06/01] 01:54:33,109.000000,
[2023/06/01] 01:54:34,135.000000,
[2023/06/01] 01:54:35,119.000000,
[2023/06/01] 01:54:36,103.000000,
[2023/06/01] 01:54:37,109.000000,
[2023/06/01] 01:54:38,108.000000,
[2023/06/01] 01:54:39,99.000000,
[2023/06/01] 01:54:40,100.000000,
[2023/06/01] 01:54:41,106.000000,
[2023/06/01] 01:54:42,115.000000,
[2023/06/01] 01:54:43,105.000000,
[2023/06/01] 01:54:44,114.000000,
[2023/06/01] 01:54:45,105.000000,
[2023/06/01] 01:54:46,106.000000,
[2023/06/01] 01:54:47,108.000000,
[2023/06/01] 01:54:48,100.000000,
[2023/06/01] 01:54:49,124.000000,
[2023/06/01] 01:54:50,112.000000,
[2023/06/01] 01:54:51,102.000000,
[2023/06/01] 01:54:52,101.000000,
[2023/06/01] 01:54:53,105.000000,
[2023/06/01] 01:54:54,113.000000,
[2023/06/01] 01:54:55,101.000000,
[2023/06/01] 01:54:56,100.000000,
[2023/06/01] 01:54:57,106.000000,
[2023/06/01] 01:54:58,101.000000,
[2023/06/01] 01:54:59,110.000000,
[2023/06/01] 01:55:00,108.000000,
[2023/06/01] 01:55:01,101.000000,
[2023/06/01] 01:55:02,114.000000,
[2023/06/01] 01:55:03,110.000000,
[2023/06/01] 01:55:04,122.000000,
[2023/06/01] 01:55:05,105.000000,
[2023/06/01] 01:55:06,102.000000,
[2023/06/01] 01:55:07,126.000000,
[2023/06/01] 01:55:08,108.000000,
[2023/06/01] 01:55:09,100.000000,
[2023/06/01] 01:55:10,107.000000,
[2023/06/01] 01:55:11,690.000000,
[2023/06/01] 01:55:12,99.000000,
[2023/06/01] 01:55:13,114.000000,
[2023/06/01] 01:55:14,114.000000,
[2023/06/01] 01:55:15,114.000000,
[2023/06/01] 01:55:16,132.000000,
[2023/06/01] 01:55:17,110.000000,
[2023/06/01] 01:55:18,101.000000,
[2023/06/01] 01:55:19,117.000000,
[2023/06/01] 01:55:20,107.000000,
[2023/06/01] 01:55:21,100.000000,
[2023/06/01] 01:55:22,110.000000,
[2023/06/01] 01:55:23,115.000000,
[2023/06/01] 01:55:24,106.000000,
[2023/06/01] 01:55:25,103.000000,
[2023/06/01] 01:55:26,103.000000,
[2023/06/01] 01:55:27,99.000000,
[2023/06/01] 01:55:28,97.000000,
[2023/06/01] 01:55:29,133.000000,
[2023/06/01] 01:55:30,108.000000,
[2023/06/01] 01:55:31,107.000000,
[2023/06/01] 01:55:32,133.000000,
[2023/06/01] 01:55:33,99.000000,
[2023/06/01] 01:55:34,100.000000,
[2023/06/01] 01:55:35,125.000000,
[2023/06/01] 01:55:36,101.000000,
[2023/06/01] 01:55:37,97.000000,
[2023/06/01] 01:55:38,145.000000,
[2023/06/01] 01:55:39,109.000000,
[2023/06/01] 01:55:40,100.000000,
[2023/06/01] 01:55:41,105.000000,
[2023/06/01] 01:55:42,101.000000,
[2023/06/01] 01:55:43,111.000000,
[2023/06/01] 01:55:44,107.000000,
[2023/06/01] 01:55:45,109.000000,
[2023/06/01] 01:55:46,109.000000,
[2023/06/01] 01:55:47,105.000000,
[2023/06/01] 01:55:48,109.000000,
[2023/06/01] 01:55:49,105.000000,
[2023/06/01] 01:55:50,108.000000,
[2023/06/01] 01:55:51,111.000000,
[2023/06/01] 01:55:52,109.000000,
[2023/06/01] 01:55:53,98.000000,
[2023/06/01] 01:55:54,106.000000,
[2023/06/01] 01:55:55,111.000000,
[2023/06/01] 01:55:56,104.000000,
[2023/06/01] 01:55:57,109.000000,
[2023/06/01] 01:55:58,116.000000,
[2023/06/01] 01:55:59,103.000000,
[2023/06/01] 01:56:00,100.000000,
[2023/06/01] 01:56:01,109.000000,
[2023/06/01] 01:56:02,96.000000,
[2023/06/01] 01:56:03,133.000000,
[2023/06/01] 01:56:04,110.000000,
[2023/06/01] 01:56:05,117.000000,
[2023/06/01] 01:56:06,123.000000,
[2023/06/01] 01:56:07,106.000000,
[2023/06/01] 01:56:08,105.000000,
[2023/06/01] 01:56:09,110.000000,
[2023/06/01] 01:56:10,102.000000,
[2023/06/01] 01:56:11,99.000000,
[2023/06/01] 01:56:12,122.000000,
[2023/06/01] 01:56:13,100.000000,
[2023/06/01] 01:56:14,122.000000,
[2023/06/01] 01:56:15,137.000000,
[2023/06/01] 01:56:16,107.000000,
[2023/06/01] 01:56:17,127.000000,
[2023/06/01] 01:56:18,117.000000,
[2023/06/01] 01:56:19,101.000000,
[2023/06/01] 01:56:20,125.000000,
[2023/06/01] 01:56:21,132.000000,
[2023/06/01] 01:56:22,106.000000,
[2023/06/01] 01:56:23,126.000000,
[2023/06/01] 01:56:24,111.000000,
[2023/06/01] 01:56:25,104.000000,
[2023/06/01] 01:56:26,123.000000,
[2023/06/01] 01:56:27,99.000000,
[2023/06/01] 01:56:28,106.000000,
[2023/06/01] 01:56:29,125.000000,
[2023/06/01] 01:56:30,108.000000,
[2023/06/01] 01:56:31,108.000000,
[2023/06/01] 01:56:32,103.000000,
[2023/06/01] 01:56:33,111.000000,
[2023/06/01] 01:56:34,103.000000,
[2023/06/01] 01:56:35,104.000000,
[2023/06/01] 01:56:36,106.000000,
[2023/06/01] 01:56:37,100.000000,
[2023/06/01] 01:56:38,103.000000,
[2023/06/01] 01:56:39,108.000000,
[2023/06/01] 01:56:40,102.000000,
[2023/06/01] 01:56:41,99.000000,
[2023/06/01] 01:56:42,105.000000,
[2023/06/01] 01:56:43,109.000000,
[2023/06/01] 01:56:44,106.000000,
[2023/06/01] 01:56:45,107.000000,
[2023/06/01] 01:56:46,98.000000,
[2023/06/01] 01:56:47,100.000000,
[2023/06/01] 01:56:48,121.000000,
[2023/06/01] 01:56:49,103.000000,
[2023/06/01] 01:56:50,100.000000,
[2023/06/01] 01:56:51,131.000000,
[2023/06/01] 01:56:52,107.000000,
[2023/06/01] 01:56:53,107.000000,
[2023/06/01] 01:56:54,113.000000,
[2023/06/01] 01:56:55,100.000000,
